,0
759,788
760,642
761,523
762,64686
763,985
764,310
765,64506
766,64464
767,64410
768,64381
769,64470
770,64608
771,64778
772,64953
773,65146
774,65363
775,65465
776,951
777,968
778,350
779,1144
780,492
781,707
782,671
783,1207
784,794
785,869
786,541
787,64802
788,1017
789,718
790,490
791,1023
792,64814
793,1096
794,787
795,1033
796,648
797,757
798,736
799,557
800,806
801,577
802,568
803,509
804,601
805,882
806,935
807,64835
808,948
809,592
810,1200
811,64814
812,1079
813,570
814,667
815,1114
816,821
817,591
818,705
819,679
820,666
821,709
822,532
823,663
824,511
825,793
826,646
827,619
828,1135
829,540
830,1219
831,1060
832,1034
833,679
834,1113
835,530
836,601
837,777
838,540
839,64583
840,927
841,699
842,596
843,618
844,222
845,1014
846,674
847,674
848,705
849,680
850,594
851,799
852,1365
853,3
854,601
855,715
856,620
857,1182
858,827
859,721
860,821
861,613
862,845
863,729
864,1088
865,1252
866,780
867,1043
868,735
869,582
870,542
871,673
872,891
873,673
874,673
875,601
876,614
877,833
878,1172
879,654
880,1140
881,565
882,1269
883,64822
884,953
885,1257
886,686
887,717
888,677
889,1036
890,606
891,856
892,64811
893,1084
894,801
895,611
896,843
897,824
898,627
899,696
900,794
901,989
902,1162
903,544
904,1182
905,694
906,1142
907,772
908,1167
909,1280
910,734
911,1168
912,509
913,763
914,682
915,800
916,695
917,645
918,537
919,929
920,663
921,954
922,656
923,718
924,505
925,499
926,683
927,1031
928,655
929,522
930,1199
931,857
932,675
933,671
934,1032
935,1095
936,666
937,599
938,762
939,526
940,511
941,1036
942,1064
943,692
944,509
945,871
946,519
947,971
948,917
949,532
950,641
951,619
952,983
953,657
954,631
955,796
956,529
957,539
958,535
959,527
960,650
961,928
962,802
963,668
964,691
965,571
966,716
967,857
968,587
969,501
970,538
971,503
972,659
973,894
974,685
975,502
976,519
977,675
978,861
979,555
980,884
981,936
982,631
983,683
984,1140
985,1178
986,65402
987,976
988,594
989,544
990,1127
991,1233
992,675
993,996
994,1219
995,518
996,1098
997,888
998,537
999,706
1000,696
1001,727
1002,523
1003,590
1004,506
1005,1045
1006,686
1007,541
1008,669
1009,493
1010,64822
1011,1108
1012,301
1013,689
1014,782
1015,1076
1016,536
1017,659
1018,664
1019,518
1020,1083
1021,573
1022,777
1023,1132
1024,538
1025,494
1026,527
1027,520
1028,1007
1029,1102
1030,683
1031,64800
1032,1089
1033,642
1034,756
1035,953
1036,497
1037,727
1038,674
1039,674
1040,751
1041,65526
1042,966
1043,544
1044,508
1045,657
1046,1024
1047,99
1048,617
1049,888
1050,861
1051,608
1052,705
1053,594
1054,639
1055,689
1056,984
1057,864
1058,582
1059,1104
1060,717
1061,1134
1062,1027
1063,648
1064,591
1065,542
1066,64811
1067,64776
1068,64718
1069,64682
1070,64737
1071,64833
1072,64957
1073,65084
1074,65223
1075,65399
1076,65489
1077,983
1078,407
1079,929
1080,1005
1081,491
1082,701
1083,652
1084,549
1085,682
1086,501
1087,503
1088,787
1089,689
1090,499
1091,564
1092,633
1093,994
1094,762
1095,677
1096,588
1097,531
1098,489
1099,937
1100,765
1101,772
1102,571
1103,706
1104,630
1105,530
1106,646
1107,546
1108,496
1109,858
1110,562
1111,540
1112,65535
1113,910
1114,497
1115,64811
1116,955
1117,907
1118,641
1119,551
1120,1098
1121,688
1122,554
1123,1073
1124,506
1125,834
1126,789
1127,668
1128,676
1129,1202
1130,879
1131,1126
1132,537
1133,1108
1134,676
1135,545
1136,599
1137,664
1138,693
1139,1028
1140,1166
1141,100
1142,475
1143,586
1144,787
1145,678
1146,1054
1147,813
1148,652
1149,622
1150,647
1151,567
1152,772
1153,1129
1154,762
1155,643
1156,533
1157,64780
1158,940
1159,717
1160,1249
1161,1058
1162,1228
1163,685
1164,646
1165,725
1166,668
1167,1050
1168,529
1169,715
1170,623
1171,672
1172,656
1173,576
1174,538
1175,686
1176,748
1177,497
1178,685
1179,666
1180,607
1181,495
1182,528
1183,503
1184,533
1185,660
1186,773
1187,784
1188,1065
1189,759
1190,751
1191,550
1192,701
1193,1211
1194,64831
1195,1112
1196,1012
1197,589
1198,1119
1199,657
1200,402
1201,65516
1202,984
1203,609
1204,566
1205,522
1206,702
1207,756
1208,725
1209,1186
1210,522
1211,1129
1212,64821
1213,1090
1214,495
1215,577
1216,64813
1217,982
1218,669
1219,560
1220,536
1221,679
1222,801
1223,582
1224,1013
1225,666
1226,664
1227,591
1228,623
1229,948
1230,575
1231,534
1232,481
1233,660
1234,715
1235,65480
1236,1038
1237,602
1238,1134
1239,600
1240,1090
1241,501
1242,533
1243,683
1244,915
1245,715
1246,671
1247,1096
1248,480
1249,683
1250,684
1251,644
1252,510
1253,520
1254,754
1255,950
1256,911
1257,684
1258,666
1259,592
1260,675
1261,906
1262,621
1263,1098
1264,707
1265,534
1266,832
1267,681
1268,703
1269,581
1270,711
1271,707
1272,536
1273,538
1274,1187
1275,606
1276,504
1277,914
1278,723
1279,689
1280,655
1281,571
1282,759
1283,544
1284,778
1285,777
1286,991
1287,539
1288,767
1289,665
1290,516
1291,492
1292,875
1293,765
1294,656
1295,494
1296,715
1297,665
1298,676
1299,1141
1300,736
1301,545
1302,802
1303,811
1304,646
1305,1200
1306,525
1307,647
1308,1062
1309,549
1310,624
1311,998
1312,537
1313,1134
1314,508
1315,491
1316,688
1317,991
1318,925
1319,680
1320,64819
1321,1098
1322,582
1323,759
1324,1222
1325,499
1326,795
1327,577
1328,692
1329,646
1330,671
1331,697
1332,682
1333,64820
1334,976
1335,816
1336,601
1337,656
1338,628
1339,535
1340,813
1341,495
1342,532
1343,669
1344,774
1345,741
1346,628
1347,668
1348,701
1349,741
1350,1414
1351,0
1352,594
1353,535
1354,652
1355,755
1356,512
1357,1236
1358,713
1359,659
1360,540
1361,677
1362,538
1363,540
1364,692
1365,548
1366,798
1367,688
1368,818
1369,622
1370,1010
1371,518
1372,512
