,0
775,860
776,680
777,741
778,65534
779,538
780,527
781,530
782,688
783,529
784,64844
785,1115
786,690
787,711
788,672
789,663
790,695
791,722
792,567
793,64816
794,1093
795,662
796,605
797,807
798,715
799,678
800,755
801,528
802,656
803,971
804,540
805,543
806,718
807,665
808,871
809,749
810,568
811,537
812,581
813,504
814,589
815,945
816,689
817,672
818,64834
819,1091
820,510
821,813
822,672
823,505
824,747
825,600
826,570
827,585
828,667
829,684
830,1345
831,65535
832,552
833,938
834,64657
835,979
836,668
837,597
838,637
839,520
840,589
841,543
842,570
843,569
844,815
845,495
846,537
847,574
848,808
849,659
850,64833
851,1081
852,541
853,679
854,1008
855,539
856,697
857,487
858,612
859,530
860,491
861,607
862,657
863,634
864,711
865,482
866,527
867,647
868,607
869,700
870,932
871,526
872,663
873,731
874,747
875,649
876,692
877,508
878,714
879,580
880,489
881,707
882,101
883,1049
884,669
885,850
886,546
887,597
888,599
889,834
890,677
891,689
892,754
893,516
894,327
895,1042
896,526
897,601
898,514
899,664
900,654
901,550
902,662
903,734
904,499
905,826
906,495
907,617
908,756
909,533
910,611
911,521
912,570
913,521
914,687
915,578
916,754
917,649
918,692
919,447
920,64817
921,1100
922,681
923,503
924,64841
925,1119
926,65533
927,919
928,645
929,509
930,631
931,676
932,499
933,1066
934,712
935,535
936,499
937,1070
938,657
939,486
940,701
941,632
942,631
943,583
944,954
945,502
946,981
947,542
948,720
949,529
950,496
951,552
952,8
953,676
954,700
955,775
956,617
957,766
958,740
959,64810
960,1076
961,228
962,691
963,680
964,487
965,657
966,506
967,689
968,65505
969,942
970,979
971,676
972,774
973,64807
974,533
975,603
976,516
977,670
978,708
979,673
980,728
981,611
982,529
983,531
984,858
985,603
986,759
987,671
988,541
989,301
990,720
991,561
992,487
993,579
994,607
995,696
996,519
997,516
998,547
999,614
1000,536
1001,660
1002,669
1003,687
1004,667
1005,804
1006,64832
1007,1091
1008,505
1009,529
1010,719
1011,64843
1012,529
1013,629
1014,622
1015,847
1016,632
1017,673
1018,595
1019,520
1020,673
1021,685
1022,277
1023,457
1024,936
1025,713
1026,569
1027,648
1028,822
1029,536
1030,659
1031,642
1032,570
1033,938
1034,608
1035,678
1036,675
1037,518
1038,64848
1039,1107
1040,909
1041,677
1042,700
1043,672
1044,633
1045,711
1046,64818
1047,1029
1048,668
1049,656
1050,729
1051,674
1052,685
1053,689
1054,712
1055,706
1056,64816
1057,1112
1058,532
1059,988
1060,520
1061,572
1062,665
1063,569
1064,980
1065,679
1066,543
1067,531
1068,476
1069,738
1070,533
1071,660
1072,521
1073,488
1074,482
1075,745
1076,720
1077,679
1078,753
1079,651
1080,642
1081,644
1082,64811
1083,1086
1084,672
1085,646
1086,671
1087,533
1088,615
1089,633
1090,570
1091,541
1092,774
1093,551
1094,648
1095,640
1096,599
1097,64812
1098,1086
1099,680
1100,531
1101,667
1102,840
1103,519
1104,597
1105,704
1106,525
1107,640
1108,770
1109,599
1110,1083
1111,766
1112,766
1113,675
1114,759
1115,713
1116,577
1117,535
1118,826
1119,505
1120,990
1121,523
1122,723
1123,718
1124,663
1125,510
1126,658
1127,754
1128,637
1129,561
1130,556
1131,541
1132,668
1133,679
1134,578
1135,511
1136,675
1137,529
1138,762
1139,684
1140,666
1141,516
1142,664
1143,566
1144,502
1145,748
1146,540
1147,655
1148,563
1149,64816
1150,1089
1151,525
1152,757
1153,684
1154,876
1155,712
1156,644
1157,642
1158,901
1159,747
1160,693
1161,679
1162,514
1163,563
1164,491
1165,672
1166,543
1167,691
1168,1264
1169,1239
1170,578
1171,621
1172,658
1173,668
1174,650
1175,595
1176,664
1177,854
1178,511
1179,707
1180,610
1181,506
1182,728
1183,501
1184,491
1185,540
1186,539
1187,496
1188,706
1189,708
1190,719
1191,64842
1192,1103
1193,512
1194,548
1195,503
1196,537
1197,634
1198,649
1199,523
1200,601
1201,541
1202,731
1203,609
1204,632
1205,64809
1206,1069
1207,702
1208,784
1209,530
1210,737
1211,498
1212,589
1213,613
1214,634
1215,501
1216,692
1217,781
1218,687
1219,533
1220,515
1221,628
1222,791
1223,639
1224,648
1225,732
1226,678
1227,703
1228,668
1229,681
1230,683
1231,677
1232,562
1233,643
1234,588
1235,65492
1236,1070
1237,488
1238,593
1239,696
1240,921
1241,1151
1242,529
1243,999
1244,539
1245,737
1246,646
1247,683
1248,480
1249,651
1250,669
1251,790
1252,738
1253,508
1254,627
1255,505
1256,678
1257,526
1258,534
1259,64831
1260,1075
1261,668
1262,656
1263,493
1264,1111
1265,428
1266,64459
1267,1015
1268,749
