,0
0,798
1,652
2,566
3,693
4,501
5,1262
6,533
7,64725
8,1022
9,64822
10,820
11,1197
12,1056
13,620
14,1303
15,1
16,684
17,575
18,673
19,707
20,646
21,776
22,688
23,682
24,618
25,998
26,982
27,673
28,907
29,907
30,538
31,677
32,952
33,64811
34,1086
35,645
36,1174
37,1079
38,528
39,1460
40,222
41,0
42,553
43,536
44,564
45,1139
46,504
47,748
48,602
49,671
50,64801
51,1096
52,662
53,499
54,492
55,637
56,569
57,954
58,756
59,611
60,579
61,660
62,991
63,1100
64,1059
65,906
66,653
67,610
68,674
69,975
70,531
71,616
72,563
73,584
74,551
75,878
76,502
77,995
78,65475
79,989
80,507
81,618
82,532
83,630
84,951
85,1159
86,1009
87,673
88,718
89,684
90,674
91,802
92,682
93,597
94,702
95,619
96,573
97,1073
98,923
99,542
100,672
101,674
102,1143
103,655
104,770
105,647
106,527
107,501
108,784
109,989
110,534
111,609
112,595
113,1114
114,688
115,683
116,719
117,1280
118,720
119,663
120,514
121,595
122,684
123,1035
124,655
125,523
126,1051
127,610
128,64806
129,1088
130,1075
131,834
132,65474
133,924
134,733
135,532
136,748
137,534
138,747
139,677
140,636
141,517
142,648
143,685
144,489
145,674
146,841
147,687
148,1044
149,1151
150,1229
151,806
152,549
153,639
154,537
155,513
156,1117
157,543
158,522
159,493
160,555
161,786
162,551
163,556
164,533
165,995
166,64808
167,1088
168,689
169,676
170,1038
171,1101
172,703
173,1192
174,752
175,750
176,819
177,505
178,670
179,1018
180,760
181,533
182,1233
183,569
184,1107
185,670
186,509
187,518
188,662
189,595
190,703
191,591
192,597
193,1192
194,542
195,1210
196,794
197,517
198,677
199,642
200,741
201,506
202,976
203,65091
204,975
205,767
206,806
207,577
208,64818
209,1107
210,64840
211,1090
212,584
213,670
214,679
215,506
216,681
217,625
218,911
219,586
220,677
221,1029
222,621
223,699
224,631
225,811
226,512
227,758
228,708
229,674
230,691
231,689
232,563
233,605
234,694
235,699
236,1128
237,1059
238,667
239,659
240,562
241,723
242,586
243,631
244,88
245,532
246,971
247,498
248,661
249,64813
250,930
251,568
252,1255
253,928
254,709
255,64818
256,1108
257,561
258,672
259,489
260,650
261,722
262,758
263,528
264,928
265,667
266,1218
267,1099
268,744
269,608
270,540
271,727
272,531
273,612
274,636
275,124
276,976
277,536
278,696
279,689
280,536
281,703
282,585
283,611
284,677
285,590
286,1010
287,659
288,727
289,574
290,487
291,679
292,1173
293,1154
294,638
295,550
296,665
297,664
298,664
299,996
300,591
301,661
302,672
303,677
304,651
305,64812
306,1085
307,1287
308,498
309,509
310,710
311,1267
312,820
313,535
314,900
315,647
316,532
317,1048
318,686
319,692
320,677
321,721
322,633
323,872
324,509
325,712
326,669
327,509
328,620
329,675
330,583
331,522
332,698
333,599
334,666
335,238
336,1144
337,529
338,509
339,64823
340,971
341,671
342,65532
343,955
344,1271
345,591
346,793
347,490
348,682
349,809
350,678
351,538
352,1211
353,1091
354,660
355,609
356,672
357,772
358,677
359,509
360,580
361,659
362,864
363,1111
364,492
365,538
366,967
367,724
368,682
369,678
370,691
371,672
372,685
373,499
374,713
375,664
376,619
377,518
378,1155
379,712
380,671
381,716
382,64807
383,1082
384,652
385,1183
386,660
387,695
388,1048
389,792
390,597
391,1190
392,598
393,681
394,665
395,64819
396,1096
397,521
398,1099
399,1018
400,1122
401,912
402,657
403,842
404,679
405,493
406,210
407,714
408,608
409,520
410,676
411,650
412,861
413,664
414,930
415,704
416,718
417,64808
418,64768
419,64708
420,64673
421,64732
422,64827
423,64949
424,65077
425,65219
426,65391
427,65480
428,987
429,531
430,1340
431,3
432,499
433,686
434,528
435,494
436,755
437,65533
438,513
439,502
440,655
441,740
442,495
443,684
444,997
445,731
446,659
447,500
448,1197
449,557
450,669
451,1220
452,64804
453,1009
454,625
455,769
456,535
457,689
458,574
459,1092
460,529
461,238
462,669
463,1203
464,684
465,549
466,527
467,955
468,561
469,798
470,698
471,1256
472,64802
473,963
474,659
475,506
476,963
477,717
478,685
479,682
480,611
481,102
482,1016
483,498
484,665
485,522
486,64804
487,997
488,506
489,1081
490,996
491,677
492,516
493,748
494,909
495,715
496,499
497,64812
498,1109
499,623
500,652
501,647
502,704
503,1326
504,65534
505,1255
506,614
507,1034
508,1105
509,687
510,575
511,501
512,588
513,1214
514,581
515,718
516,673
517,679
518,685
519,65518
520,1024
521,963
522,711
523,731
524,502
525,617
526,690
527,895
528,532
529,521
530,64820
531,1084
532,494
533,734
534,64820
535,1114
536,984
537,876
538,624
539,1200
540,782
541,698
542,64830
543,1103
544,551
545,218
546,634
547,35
548,1021
549,519
550,654
551,762
552,696
553,486
554,678
555,791
556,673
557,586
558,981
559,531
560,676
561,692
562,596
563,689
564,584
565,608
566,715
567,806
568,1007
569,649
570,673
571,659
572,702
573,955
574,934
575,918
576,535
577,1063
578,717
579,700
580,665
581,487
582,687
583,656
584,793
585,735
586,641
587,664
588,602
589,976
590,64812
591,1087
592,1147
593,621
594,657
595,492
596,579
597,581
598,755
599,880
600,933
601,729
602,607
603,703
604,1069
605,726
606,663
607,665
608,540
609,1096
610,480
611,559
612,1016
613,534
614,705
615,686
616,664
617,509
618,667
619,739
620,501
621,1107
622,674
623,744
624,535
625,690
626,537
627,705
628,1138
629,527
630,665
631,1025
632,524
633,496
634,735
635,539
636,633
637,1070
638,516
639,665
640,566
641,486
642,605
643,3
644,690
645,566
646,538
647,809
648,923
649,1111
650,502
651,1067
652,715
653,770
654,536
655,708
656,528
657,630
658,679
659,496
660,495
661,513
662,547
663,741
664,643
665,984
666,554
667,690
668,546
669,998
670,998
671,661
672,548
673,718
674,802
675,689
676,811
677,724
678,492
679,102
680,501
681,699
682,533
683,702
684,638
685,661
686,723
687,744
688,964
689,703
690,673
691,588
692,772
693,673
694,684
695,1088
696,643
697,486
698,508
699,1323
700,65535
701,679
702,642
703,503
704,688
705,848
706,1057
707,685
708,1226
709,713
710,733
711,663
712,727
713,676
714,651
715,724
716,681
717,641
718,1282
719,640
720,1008
721,674
722,780
723,292
724,538
725,499
726,1183
727,542
728,589
729,799
730,499
731,674
732,64823
733,1096
734,588
735,669
736,677
737,716
738,565
739,552
740,739
741,983
742,64809
743,1091
744,823
745,1219
746,576
747,64801
748,992
749,616
750,1060
751,1218
752,861
753,679
754,919
755,713
756,64822
757,1093
758,349
759,843
760,523
761,671
762,670
763,658
764,509
765,531
766,770
767,537
768,648
769,668
770,1020
771,739
772,588
773,535
774,553
775,658
776,720
777,1091
778,655
779,743
780,756
781,591
782,732
783,688
784,664
785,694
786,492
787,1369
788,1
789,712
790,598
791,889
792,1017
793,687
794,875
795,690
796,910
797,537
798,974
799,741
800,677
801,601
802,658
803,521
804,531
805,638
806,658
807,1024
808,536
809,603
810,1038
811,488
812,526
813,646
814,935
815,875
816,686
817,697
818,1001
819,674
820,705
821,1113
822,898
823,1091
824,661
825,588
826,677
827,588
828,663
829,661
830,537
831,1158
832,703
833,537
834,64811
835,937
836,527
837,771
838,540
839,685
840,691
841,928
842,533
843,524
844,692
845,664
846,574
847,672
848,680
849,64530
850,1011
851,940
852,64812
853,971
854,717
855,677
856,525
857,679
858,507
859,1025
860,854
861,1055
862,1170
863,718
864,596
865,755
866,671
867,602
868,711
869,579
870,565
871,735
872,665
873,995
874,607
875,941
876,525
877,693
878,1033
879,663
880,1189
881,641
882,94
883,630
884,632
885,1161
886,725
887,64814
888,1020
889,136
890,864
891,899
892,684
893,673
894,537
895,579
896,539
897,530
898,537
899,760
900,630
901,600
902,651
903,1057
904,537
905,854
906,520
907,594
908,689
909,691
910,611
911,494
912,710
913,487
914,565
915,64817
916,967
917,529
918,665
919,669
920,683
921,1050
922,751
923,646
924,531
925,535
926,722
927,980
928,514
929,547
930,668
931,697
932,1085
933,764
934,64808
935,1006
936,929
937,620
938,542
939,729
940,488
941,1134
942,672
943,768
944,897
945,990
946,1158
947,817
948,667
949,539
950,691
951,1129
952,503
953,554
954,682
955,717
956,701
957,517
958,510
959,576
960,500
961,653
962,865
963,590
964,321
965,1044
966,812
967,653
968,744
969,1261
970,484
971,555
972,659
973,844
974,896
975,588
976,1256
977,908
978,620
979,550
980,534
981,781
982,305
983,509
984,1106
985,503
986,694
987,518
988,538
989,527
990,690
991,717
992,842
993,1279
994,604
995,661
996,494
997,534
998,708
999,714
1000,679
1001,721
1002,667
1003,606
1004,549
1005,635
1006,690
1007,1302
1008,615
1009,633
1010,532
1011,1092
1012,890
1013,779
1014,530
1015,582
1016,64825
1017,953
1018,451
1019,1088
1020,574
1021,550
1022,604
1023,626
1024,722
1025,644
1026,1133
1027,660
1028,722
1029,670
1030,625
1031,551
1032,64809
1033,1093
1034,382
1035,389
1036,750
1037,730
1038,602
1039,538
1040,529
1041,880
1042,1227
1043,691
1044,532
1045,546
1046,664
1047,64824
1048,1106
1049,593
1050,712
1051,628
1052,686
1053,668
1054,757
1055,679
1056,1054
1057,638
1058,662
1059,1194
1060,709
1061,1160
1062,693
1063,685
1064,1187
1065,497
1066,987
1067,1248
1068,1232
1069,544
1070,946
1071,1105
1072,1167
1073,483
1074,907
1075,100
1076,353
1077,668
1078,749
1079,694
1080,780
1081,1153
1082,661
1083,64839
1084,1095
1085,765
1086,761
1087,494
1088,786
1089,647
1090,656
1091,521
1092,941
1093,500
1094,505
1095,675
1096,1032
1097,605
1098,587
1099,683
1100,781
1101,848
1102,646
1103,495
1104,64824
1105,1095
1106,792
1107,966
1108,519
1109,772
1110,713
1111,547
1112,64823
1113,1112
1114,530
1115,738
1116,588
1117,657
1118,515
1119,753
1120,64809
1121,1088
1122,509
1123,676
1124,700
1125,592
1126,494
1127,535
1128,544
1129,630
1130,1057
1131,767
1132,499
1133,501
1134,1221
1135,716
1136,927
1137,535
1138,1191
1139,586
1140,651
1141,1114
1142,501
1143,684
1144,1101
1145,573
1146,532
1147,691
1148,795
1149,1189
1150,621
1151,688
1152,1268
1153,554
1154,714
1155,690
1156,667
1157,379
1158,562
1159,711
1160,663
1161,1007
1162,717
1163,691
1164,704
1165,568
1166,679
1167,644
1168,589
1169,535
1170,496
1171,428
1172,547
1173,693
1174,714
1175,618
1176,517
1177,546
1178,664
1179,492
1180,494
1181,64828
1182,1103
1183,508
1184,1116
1185,676
1186,64843
1187,1094
1188,908
1189,591
1190,64813
1191,1039
1192,715
1193,550
1194,65490
1195,961
1196,577
1197,532
1198,670
1199,1196
1200,535
1201,784
1202,539
1203,755
1204,742
1205,925
1206,1173
1207,522
1208,503
1209,1218
1210,482
1211,778
1212,594
1213,545
1214,694
1215,950
1216,616
1217,618
1218,670
1219,790
1220,522
1221,547
1222,672
1223,571
1224,556
1225,654
1226,518
1227,489
1228,656
1229,536
1230,706
1231,667
1232,1165
1233,949
1234,1204
1235,1075
1236,1236
1237,657
1238,717
1239,709
1240,1282
1241,564
1242,769
1243,769
1244,513
1245,729
1246,525
1247,687
1248,634
1249,662
1250,1058
1251,673
1252,524
1253,675
1254,719
1255,527
1256,682
1257,557
1258,855
1259,1018
1260,674
1261,503
1262,1160
1263,689
1264,656
1265,914
1266,553
1267,599
1268,648
1269,678
1270,635
1271,765
1272,894
1273,871
1274,526
1275,576
1276,695
1277,571
1278,504
1279,1073
1280,748
1281,692
1282,683
1283,679
1284,640
1285,65535
1286,627
1287,559
1288,669
1289,526
1290,504
1291,560
1292,963
1293,548
1294,1070
1295,569
1296,397
1297,578
1298,693
1299,1179
1300,611
1301,545
1302,546
1303,723
1304,579
1305,787
1306,502
1307,1046
1308,64806
1309,1089
1310,99
1311,938
1312,843
1313,518
1314,659
1315,552
1316,805
1317,685
1318,1037
1319,768
1320,1022
1321,613
1322,673
1323,530
1324,987
1325,600
1326,553
1327,816
1328,675
1329,1235
1330,898
1331,666
1332,560
1333,701
1334,741
1335,658
1336,493
1337,829
1338,823
1339,612
1340,627
1341,1316
1342,5
1343,778
1344,869
1345,668
1346,693
1347,1124
1348,1049
1349,64814
1350,1024
1351,627
1352,1172
1353,650
1354,529
1355,679
1356,718
1357,685
1358,703
1359,1059
1360,653
1361,1100
1362,742
1363,657
1364,890
1365,621
1366,666
1367,814
1368,577
1369,1131
1370,793
1371,805
1372,512
1373,562
1374,1219
1375,676
1376,505
1377,556
1378,503
1379,898
1380,641
