,0
756,65535
757,653
758,516
759,530
760,479
761,760
762,646
763,561
764,510
765,605
766,1154
767,973
768,900
769,711
770,976
771,771
772,630
773,514
774,64686
775,985
776,310
777,64506
778,64464
779,64410
780,64381
781,64470
782,64608
783,64778
784,64953
785,65146
786,65363
787,65465
788,951
789,968
790,350
791,1144
792,483
793,707
794,671
795,1207
796,794
797,869
798,533
799,64802
800,1017
801,718
802,490
803,1023
804,64814
805,1070
806,787
807,1033
808,648
809,757
810,736
811,557
812,806
813,577
814,568
815,509
816,589
817,882
818,935
819,64835
820,948
821,592
822,1169
823,64814
824,1079
825,570
826,667
827,1114
828,821
829,591
830,705
831,663
832,666
833,709
834,532
835,663
836,511
837,793
838,646
839,619
840,1135
841,540
842,1188
843,1060
844,1007
845,679
846,1113
847,530
848,601
849,777
850,540
851,64583
852,927
853,699
854,596
855,618
856,222
857,1014
858,660
859,674
860,705
861,666
862,594
863,799
864,1365
865,4
866,601
867,715
868,611
869,1182
870,827
871,706
872,821
873,613
874,845
875,713
876,1088
877,1252
878,780
879,1043
880,735
881,582
882,542
883,673
884,891
885,673
886,660
887,601
888,614
889,833
890,1172
891,654
892,1140
893,565
894,1269
895,64822
896,953
897,1257
898,686
899,717
900,677
901,1036
902,606
903,837
904,64811
905,1084
906,801
907,611
908,843
909,824
910,627
911,696
912,794
913,989
914,1162
915,536
916,1153
917,694
918,1142
919,772
920,1167
921,1280
922,734
923,1168
924,509
925,763
926,682
927,782
928,695
929,645
930,537
931,929
932,663
933,954
934,656
935,718
936,505
937,490
938,683
939,1031
940,655
941,522
942,1199
943,857
944,675
945,671
946,1007
947,1065
948,666
949,588
950,762
951,526
952,511
953,1036
954,1064
955,692
956,509
957,871
958,519
959,971
960,917
961,532
962,641
963,619
964,983
965,657
966,631
967,796
968,529
969,531
970,535
971,527
972,650
973,928
974,802
975,668
976,691
977,571
978,716
979,857
980,577
981,501
982,538
983,503
984,659
985,894
986,685
987,502
988,519
989,675
990,861
991,555
992,864
993,936
994,631
995,669
996,1140
997,1178
998,65402
999,976
1000,594
1001,544
1002,1127
1003,1202
1004,675
1005,996
1006,1219
1007,518
1008,1098
1009,888
1010,537
1011,706
1012,681
1013,727
1014,514
1015,590
1016,506
1017,1045
1018,686
1019,541
1020,669
1021,483
1022,64822
1023,1108
1024,301
1025,689
1026,782
1027,1076
1028,528
1029,659
1030,664
1031,518
1032,1083
1033,573
1034,777
1035,1132
1036,538
1037,494
1038,527
1039,520
1040,1007
1041,1102
1042,683
1043,64841
1044,1089
1045,642
1046,739
1047,953
1048,497
1049,710
1050,674
1051,674
1052,751
1053,65526
1054,966
1055,544
1056,508
1057,657
1058,1024
1059,99
1060,617
1061,888
1062,861
1063,608
1064,705
1065,583
1066,639
1067,689
1068,984
1069,844
1070,582
1071,1104
1072,703
1073,1134
1074,1027
1075,648
1076,591
1077,542
1078,64843
1079,983
1080,407
1081,929
1082,1005
1083,491
1084,701
1085,652
1086,549
1087,682
1088,501
1089,503
1090,787
1091,689
1092,499
1093,564
1094,633
1095,994
1096,762
1097,677
1098,588
1099,531
1100,489
1101,937
1102,750
1103,772
1104,571
1105,691
1106,630
1107,530
1108,633
1109,546
1110,496
1111,858
