,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,2
61,0
62,1
63,2
64,5
65,9
66,7
67,10
68,12
69,12
70,20
71,20
72,22
73,27
74,29
75,28
76,31
77,33
78,42
79,30
80,31
81,30
82,27
83,32
84,29
85,35
86,38
87,31
88,34
89,20
90,30
91,37
92,30
93,45
94,20
95,28
96,25
97,27
98,28
99,30
100,33
101,35
102,25
103,33
104,33
105,32
106,20
107,27
108,30
109,27
110,29
111,34
112,25
113,41
114,28
115,28
116,35
117,33
118,30
119,30
120,28
121,22
122,32
123,35
124,43
125,22
126,33
127,20
128,25
129,30
130,30
131,30
132,23
133,33
134,34
135,34
136,39
137,17
138,25
139,21
140,34
141,30
142,25
143,31
144,38
145,27
146,34
147,29
148,34
149,32
150,27
151,37
152,28
153,27
154,20
155,33
156,25
157,33
158,32
159,37
160,41
161,40
162,35
163,33
164,27
165,31
166,27
167,41
168,32
169,28
170,43
171,47
172,50
173,44
174,35
175,47
176,41
177,41
178,34
179,44
180,30
181,48
182,54
183,35
184,47
185,41
186,46
187,45
188,40
189,32
190,45
191,48
192,45
193,44
194,40
195,40
196,30
197,48
198,37
199,39
200,27
201,40
202,42
203,36
204,38
205,47
206,23
207,35
208,33
209,35
210,27
211,22
212,31
213,38
214,22
215,26
216,24
217,28
218,24
219,23
220,33
221,33
222,39
223,34
224,33
225,20
226,21
227,26
228,32
229,21
230,29
231,25
232,20
233,29
234,19
235,20
236,24
237,26
238,23
239,24
240,25
241,20
242,25
243,28
244,22
245,18
246,24
247,23
248,35
249,19
250,19
251,20
252,25
253,17
254,28
255,26
256,26
257,27
258,19
259,22
260,20
261,17
262,20
263,17
264,26
265,18
266,22
267,21
268,23
269,17
270,27
271,17
272,16
273,27
274,14
275,21
276,24
277,17
278,20
279,22
280,24
281,29
282,23
283,21
284,24
285,16
286,20
287,20
288,14
289,18
290,21
291,14
292,19
293,12
294,14
295,22
296,27
297,23
298,17
299,10
300,20
301,16
302,22
303,25
304,22
305,11
306,21
307,10
308,18
309,18
310,23
311,15
312,26
313,18
314,13
315,15
316,20
317,21
318,13
319,16
320,13
321,18
322,18
323,17
324,14
325,17
326,13
327,21
328,20
329,25
330,20
331,18
332,23
333,22
334,20
335,13
336,20
337,27
338,21
339,15
340,19
341,17
342,20
343,11
344,17
345,13
346,15
347,18
348,14
349,11
350,22
351,19
352,18
353,15
354,15
355,13
356,16
357,20
358,14
359,21
360,17
361,11
362,12
363,14
364,14
365,21
366,13
367,28
368,13
369,16
370,30
371,19
372,17
373,18
374,19
375,13
376,15
377,16
378,14
379,19
380,23
381,13
382,14
383,22
384,21
385,20
386,20
387,19
388,24
389,23
390,16
391,23
392,22
393,14
394,16
395,14
396,24
397,24
398,20
399,19
400,15
401,14
402,17
403,22
404,23
405,15
406,15
407,13
408,9
409,8
410,17
411,18
412,24
413,11
414,16
415,12
416,13
417,15
418,19
419,19
420,17
421,17
422,18
423,19
424,22
425,19
426,13
427,19
428,19
429,13
430,22
431,16
432,18
433,20
434,12
435,12
436,14
437,14
438,12
439,16
440,10
441,21
442,12
443,18
444,19
445,13
446,12
447,11
448,14
449,6
450,18
451,10
452,18
453,16
454,9
455,16
456,11
457,11
458,4
459,12
460,9
461,12
462,4
463,9
464,17
465,7
466,14
467,8
468,8
469,5
470,5
471,8
472,8
473,9
474,12
475,8
476,3
477,6
478,5
479,9
480,5
481,4
482,6
483,10
484,3
485,7
486,7
487,7
488,4
489,6
490,4
491,4
492,7
493,4
494,8
495,5
496,5
497,2
498,3
499,4
500,7
501,3
502,4
503,3
504,3
505,8
506,6
507,5
508,6
509,6
510,4
511,6
512,3
513,2
514,6
515,4
516,4
517,1
518,2
519,4
520,7
521,9
522,6
523,6
524,4
525,4
526,3
527,7
528,2
529,1
530,2
531,4
532,2
